payer_name,beneficiary_name,date,purpose,amount_orig_currency,amount_orig,amount_usd,amount_eur,investigation
HILUX SERVICES LP,BONDWEST LLP,2014-06-30,1406305074904779 PAYMENT TO THE CONTRACT N 28 DD.12.09.2 013,USD,-1e+06,1000000,733790,az
HILUX SERVICES LP,FABERLEX LP,2014-06-30,1406305071264339 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-1e+06,1000000,733790,az
HILUX SERVICES LP,LUXBORG L.P.,2014-06-30,1406305077099083 PAYMENT TO THE CONTRACT N 991 DD.11.06. 2013,USD,-1e+06,1000000,733790,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2014-06-30,1406305070416235 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013,USD,-550000,550000,403584.5,az
HILUX SERVICES LP,SANTRAL ELEKTRIK LP,2014-06-30,1406305077502387 PAYMENT TO THE CONTRACT N 006 DD.06.06. 2013 FOR ELECTRICAL GOODS.,USD,-309500,309500,227108.01,az
HILUX SERVICES LP,JIHAI HOLDING GROUP CO LIMITED,2014-06-30,1406305020836227 PAYMENT TO THE INVOICE N.756 DD.30. 06. 2014,USD,-3e+05,300000,220137,az
HILUX SERVICES LP,ELITE LLC,2014-06-30,1406305020822323 PAYMENT TO THE CONTRACT N.25-11,USD,-193830,193830,142230.52,az
HILUX SERVICES LP,CITYPORT CONTRACTS L.P.,2014-06-30,1406305072610539 CONTRACT N 0042 DD 01.08.2013,USD,-133000,133000,97594.07,az
HILUX SERVICES LP,FABERLEX LP,2014-06-30,1406305075171951 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-1e+05,100000,73379,az
HILUX SERVICES LP,KAVALCI MUHENDISLIK VE MUSAVIRLIK,2014-06-30,1406305025308083 PAYMENT TO THE INVOICE N.362 DD.30. 06. 2014,USD,-63265,63265,46423.22,az
HILUX SERVICES LP,GLOBAL SUPPLY GROUP FZE,2014-06-30,1406305022335551 PAYMENT TO THE INVOICE N.6673 DD.30 .06 .2014,EUR,-61435,83723,61435,az
HILUX SERVICES LP,CITYPORT CONTRACTS L.P.,2014-06-30,1406305072916691 CONTRACT N 0042 DD 01.08.2013,USD,-40000,40000,29351.6,az
HILUX SERVICES LP,MURAD SAL,2014-06-30,1406305026196107 PAYMENT TO THE INVOICE N.674 DD. 30 .06 .2014,EUR,-37820,51541,37820,az
HILUX SERVICES LP,HAINING CHANGDA WARP KNITTING CO.,2014-06-30,1406305024999147 PAYMENT TO THE INVOICE N.6 DD.30.06 .20 14,USD,-30000,30000,22013.7,az
HILUX SERVICES LP,SOCIETE GENERALE,2014-06-30,1406305033016627 PAYMENT TO THE INVOICE N.2855 DD.24 .01 .2014,EUR,-27744,37810,27744,az
HILUX SERVICES LP,RASIT USTA,2014-06-30,1406305025210931 PAYMENT TO THE INVOICE N.067 DD.30. 06. 2014,USD,-14994,14994,11002.45,az
FABERLEX LP,HILUX SERVICES LP,2014-06-30,1406305075937531 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,500,500,366.9,az
PLASSON LTD,HILUX SERVICES LP,2014-06-30,"1406305101847631 REIMBURSEMENT OF OVER PAYMENT  /FEE/USD 27,50",USD,3332.82,3333,2445.59,az
FABERLEX LP,HILUX SERVICES LP,2014-06-30,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,EUR,3979,5423,3979,az
FABERLEX LP,HILUX SERVICES LP,2014-06-30,1406285077989845 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,13000,13000,9539.27,az
BAKTELEKOM MMC,HILUX SERVICES LP,2014-06-30,"1406305106119407 CONTRACT N01 29.05.2013  /FEE/USD53,5",USD,2771946.5,2771947,2034026.62,az
BAKTELEKOM MMC,HILUX SERVICES LP,2014-06-30,"1406305104155563 CONTRACT N01 29.05.2013  /FEE/USD53,5",USD,3959946.5,3959947,2905769.14,az
HILUX SERVICES LP,NOORDWAND WALL DECORATION,2014-07-01,1407015033888169 PAYMENT TO THE INVOICE N.697249 DD. 30. 06.2014,EUR,-1407,1925,1407,az
HILUX SERVICES LP,FABERLEX LP,2014-07-02,1407025073975024 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-1713300,1713300,1252490.83,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2014-07-02,1407025072976944 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,USD,-750000,750000,548280,az
HILUX SERVICES LP,BONDWEST LLP,2014-07-02,1407025073623816 PAYMENT TO THE CONTRACT N 28 DD.12.09.2 013,USD,-5e+05,500000,365520,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2014-07-02,1407025075367544 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,USD,-3e+05,300000,219312,az
HILUX SERVICES LP,RASMUS LP,2014-07-02,1407025070332488 PAYMENT TO THE CONTRACT 001 DD 03.06.20 13 FOR EQUIPMENT.,USD,-280000,280000,204691.2,az
HILUX SERVICES LP,BAKA LIMITED,2014-07-02,1407025026228344 PAYMENT TO THE CONTRACT N.001 DD.12 .12 .2013 FOR MEAT PRODUCTS.,USD,-242596.24,242597,177347.56,az
HILUX SERVICES LP,JIHAI HOLDING GROUP CO LIMITED,2014-07-02,1407025022426856 PAYMENT TO THE INVOICE N.756 DD.30. 06. 2014,USD,-2e+05,200000,146208,az
HILUX SERVICES LP,EKREM OKTEM,2014-07-02,1407025025467480 PAYMENT TO THE INVOICE N.445 DD.02. 07. 2014,USD,-150000,150000,109656,az
HILUX SERVICES LP,LLC STAV AGRO MARKET,2014-07-02,1407025021078872 PAYMENT TO THE INVOICE N.26/08/13-A SL DD.26.08.2013,USD,-140000,140000,102345.6,az
HILUX SERVICES LP,CROSSPARK LINES LLP,2014-07-02,1407025033273176 PAYMENT TO THE CONTRACT N. 081 DD. 20.1 2.2013 FOR ELECTRICAL EQUIPMENT,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2014-07-02,1407025070232552 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2014-07-02,1407025073424000 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,JIHAI HOLDING GROUP CO LIMITED,2014-07-02,1407025027561848 PAYMENT TO THE INVOICE N.756 DD.30. 06. 2014,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,MARAK CO LIMITED,2014-07-02,1407025025567416 PAYMENT TO THE CONTRACT N 11 DD.05. 06. 2013 FOR CONSTRUCTION MATERIALS.,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,OZEL BATIASYA SAGLIK HIZMETLERI DIS,2014-07-02,1407025026422648 PAYMENT TO THE INVOICE N.43 DD. 01. 07. 2014,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,ZHEJIANG YIWU YING RUI FREIGHT FORW,2014-07-02,1407025025918312 PAYMENT TO THE CONTRACT N 000991 DD .11 .06.2013 FOR TRANSPORTATION EXPE NSES.,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,INTEGRATED SERVICES LIMITED,2014-07-02,1407025023724008 PAYMENT TO THE INVOICE N. SO/2014/2 088 DD.23/06/14,USD,-97621,97621,71364.86,az
HILUX SERVICES LP,FABERLEX LP,2014-07-02,1407025076127416 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-90500,90500,66159.12,az
HILUX SERVICES LP,"SHANDONG WANDA BOTO TYRE CO.,LTD",2014-07-02,1407025028012424 PAYMENT TO THE CONTRACT N 0399 DD.2 1.0 6.2013 FOR SPARE PARTS.,USD,-74000,74000,54096.96,az
HILUX SERVICES LP,NOVA SIRIA S.R.L.,2014-07-02,1407025030881784 PAYMENT TO THE CONTRACT N.4/1 DD.10 .03 .2014,EUR,-64197,87816,64197,az
HILUX SERVICES LP,DAHUA TECHNOLOGY (HK) LIMITED,2014-07-02,1407025024520968 PAYMENT TO THE CONTRACT N 900 DD.01 .10 .2013 FOR EQUIPMENT.,USD,-55503,55503,40574.91,az
HILUX SERVICES LP,SOCIETA ITALIA S.R.L,2014-07-02,1407025031839736 PAYMENT TO THE CONTRACT N.ZB 130712 2GF L DD. 05.11.2013 FOR WEARS,EUR,-50000,68396,50000,az
HILUX SERVICES LP,BIN TAMIM ELECTRONICS LLC,2014-07-02,1407025025818120 PAYMENT TO THE INVOICE N. BTE/14/SO 308 11 DD.24.06.2014 FOR ELECTRONIC S PRODUCTS.,USD,-47978,47978,35073.84,az
HILUX SERVICES LP,FABERLEX LP,2014-07-02,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,EUR,-44164,60413,44164,az
HILUX SERVICES LP,PERA SERAMIK SANAYI VE TICARET A.S.,2014-07-02,1407025024034040 PAYMENT TO THE CONTRACT N. 22 DD. 0 3.0 1.2014,USD,-43927,43927,32112.39,az
HILUX SERVICES LP,LATFORM INDUSTRIES LLP,2014-07-02,1407025032326664 PAYMENT TO THE CONTRACT N.936551 DD.28. 11.2013,EUR,-40270,55086,40270,az
HILUX SERVICES LP,INTEGRATED SERVICES LIMITED,2014-07-02,1407025026715272 PAYMENT TO THE INVOICE N. SO/2014/1 746 DD.31.05.2014,USD,-37160,37160,27165.45,az
HILUX SERVICES LP,FABERLEX LP,2014-07-02,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,EUR,-32276,44151,32276,az
HILUX SERVICES LP,AUTO SEREDIN E.K.,2014-07-02,1407025036815464 PAYMENT TO THE INVOICE N.225 DD.01.07.2 014 PREPEYMENT,EUR,-30000,41038,30000,az
HILUX SERVICES LP,CALZATURIFICIO CASADEI SPA,2014-07-02,1407025036425432 PAYMENT TO THE INVOICE N 45 DD.30.0 6.2 014,EUR,-30000,41038,30000,az
HILUX SERVICES LP,"HANGZHOU KANG AO TECHNOLOGY CO.,LTD",2014-07-02,1407025026521848 PAYMENT TO THE INVOICE N.4524 DD.02 .07 .2014,USD,-30000,30000,21931.2,az
HILUX SERVICES LP,LTD ROTRACK,2014-07-02,1407025026325496 PAYMENT TO THE INVOICE N 4455 DD.01 .07 .2014 FOR TRANSPORTATION.,USD,-30000,30000,21931.2,az
HILUX SERVICES LP,LORO PIANA,2014-07-02,1407025034915400 PAYMENT TO THE CONTRACT N.35 DD.03. 12. 2013,EUR,-20000,27359,20000,az
HILUX SERVICES LP,INTEGRATED SERVICES LIMITED,2014-07-02,1407025025215464 PAYMENT TO THE INVOICE N. SO/2014/2 142 DD.28/06/14,USD,-16900,16900,12354.58,az
HILUX SERVICES LP,NOVY BOR,2014-07-02,1407025021178808 PAYMENT TO THE INVOICE N.653 DD.02. 07. 2014,USD,-10000,10000,7310.4,az
HILUX SERVICES LP,YANA DIAMONDS LIMITED,2014-07-02,1407025030781592 PAYMENT TO THE INVOICE N.23 DD.02.07.20 14 FOR JEWELLERY,EUR,-6995,9569,6995,az
HILUX SERVICES LP,CITYPORT CONTRACTS L.P.,2014-07-02,1407025073373112 CONTRACT N 0042 DD 01.08.2013,USD,-5000,5000,3655.2,az
HILUX SERVICES LP,JATO S.R.L.,2014-07-02,1407025034621160 PAYMENT TO THE INVOICE N.8 DD.01.07 .20 14,EUR,-4895,6696,4895,az
HILUX SERVICES LP,JEKATERINA HANSAR,2014-07-02,1407025002136024 PAYMENT TO THE INVOICE N.02/93 DD.02.07 .2014,EUR,-4000,5472,4000,az
METASTAR INVEST LLP,REDPARK SALES CORP,2014-07-02,1407025072687840 METASTAR INVEST LLP account EE773300333 487040004 balance and closing.,USD,-165.09,166,120.69,az
HILUX SERVICES LP,FABERLEX LP,2014-07-02,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,EUR,-1.81,3,1.81,az
METASTAR INVEST LLP,REDPARK SALES CORP,2014-07-02,1407025074402144 METASTAR INVEST LLP account EE773300333 487040004 balance and closing.,GBP,-1.03,2,1.29,az
BAKTELEKOM MMC,HILUX SERVICES LP,2014-07-02,"1407025108329692 CONTRACT N01 29.05.2013  /FEE/USD53,5",USD,1987946.5,1987947,1453268.41,az
BAKTELEKOM MMC,HILUX SERVICES LP,2014-07-02,"1407025106304256 CONTRACT N01 29.05.2013  /FEE/USD53,5",USD,3959946.5,3959947,2894879.29,az
HILUX SERVICES LP,FABERLEX LP,2014-07-03,1407035071790678 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-1399000,1399000,1022724.96,az
HILUX SERVICES LP,CANVAS INDUSTRY CORP.,2014-07-03,1407035036722446 PAYMENT TO THE CONTRACT N 010 DD.01 .06 .2013 FOR BUILDING MATERIALS.,USD,-257000,257000,187877.28,az
HILUX SERVICES LP,AKCELIK BORU SANAYI A.S.,2014-07-03,1407035026012670 PAYMENT TO THE INVOICE N.541524 DD. 03. 07.2014,USD,-2e+05,200000,146208,az
HILUX SERVICES LP,EUROEX COMMERCIAL LLP,2014-07-03,1407035070042382 PAYMENT TO THE CONTRACT N.78/1 DD.01.06 .2014 FOR CONSTRUCTION MATERIALS,USD,-2e+05,200000,146208,az
HILUX SERVICES LP,HOLLMANN GBR,2014-07-03,1407035038012670 PAYMENT TO THE INVOICE N.14G109,EUR,-128000,175094,128000,az
HILUX SERVICES LP,LTD ROTRACK,2014-07-03,1407035026099286 PAYMENT TO THE INVOICE N 54 DD.03.0 7.2 014 FOR TRANSPORTATION.,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,RASMUS LP,2014-07-03,1407035072236686 PAYMENT TO THE CONTRACT 001 DD 03.06.20 13 FOR EQUIPMENT.,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,HOOGWEGT CHEESE B.V.,2014-07-03,1407035036725486 PAYMENT TO THE INVOICE N.14052014 F OR FOOD,EUR,-89080,121854,89080,az
HILUX SERVICES LP,FTS FILTRASYON ARITIM SISTEMLERI,2014-07-03,1407035028112606 PAYMENT TO THE INVOICE N.24152 DD.0 3.0 7.2014,USD,-73000,73000,53365.92,az
HILUX SERVICES LP,TESAN ELEKTRIK OTOMASYON TIC.LTD.,2014-07-03,1407035024430990 PAYMENT TO THE INVOICE N.952 DD.03. 07. 2014,USD,-68655,68655,50189.55,az
HILUX SERVICES LP,KEKARE MUHENDISLIK ELEKTRIK DIS.TIC,2014-07-03,1407035021429758 PAYMENT TO THE INVOICE N.75 DD.03.0 7.2 014,EUR,-50000,68396,50000,az
HILUX SERVICES LP,CHANGXING SHENGYAN IMPORT + EXPORT,2014-07-03,1407035027912478 PAYMENT TO THE CONTRACT N 42 DD.22. 09. 2013 FOR CONSTRUCTION MATERIALS.,USD,-50000,50000,36552,az
HILUX SERVICES LP,ECE BANYO,2014-07-03,1407035021229630 PAYMENT TO THE CONTRACT N 661 DD.01 .07 .2013 FOR CONSTRUCTION MATERIALS .,EUR,-48000,65660,48000,az
HILUX SERVICES LP,RAVAGLIOLI S.P.A.,2014-07-03,1407035034531182 PAYMENT TO THE INVOICE 10024616QF/V ST/ TB1,EUR,-20128.84,27535,20128.84,az
HILUX SERVICES LP,NOVA VERTA INTERNATIONAL S.P.A.,2014-07-03,1407035035718174 PAYMENT TO THE INVOICE N.48 DD.30.0 6.2 014,EUR,-20000,27359,20000,az
HILUX SERVICES LP,TEKNOPLAS POLYSTER PLASTIK SAN VE T,2014-07-03,1407035025912478 PAYMENT TO THE CONTRACT N 8 DD.18.1 0.2 013 FOR GOODS.,EUR,-13560,18549,13560,az
HILUX SERVICES LP,CROSSPARK LINES LLP,2014-07-03,1407035077664606 PAYMENT TO THE CONTRACT N. 081 DD. 20.1 2.2013,USD,-10000,10000,7310.4,az
HILUX SERVICES LP,GF + GEORG FISHER PIPING SYSTEMS,2014-07-03,1407035035818366 PAYMENT TO THE CONTRACT N 302 DD.11 .10 .2013 FOR EQUIPMENT.,EUR,-6840,9357,6840,az
HILUX SERVICES LP,GS GLOBAL CORP.,2014-07-03,1407035025812542 PAYMENT TO THE CONTRACT N 12/7 DD 0 1.1 2.2013,USD,-6516.09,6517,4763.52,az
HILUX SERVICES LP,FABERLEX LP,2014-07-03,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,EUR,-6000,8208,6000,az
HILUX SERVICES LP,YAKAMOZ MED.REK.ILAN.ORG,2014-07-03,1407035023624062 PAYMENT TO THE INVOICE N.584 DD.03. 07. 2014,USD,-2600,2600,1900.7,az
CROSSPARK LINES LLP,HILUX SERVICES LP,2014-07-03,1407035070723246 CONTRACT N 081 DD.20.12.2013,USD,10000,10000,7310.4,az
BAKTELEKOM MMC,HILUX SERVICES LP,2014-07-03,"1407035106655454 CONTRACT N01 29.05.2013  /FEE/USD53,5",USD,2978946.5,2978947,2177729.05,az
HILUX SERVICES LP,FABERLEX LP,2014-07-04,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,EUR,-7500000,10259357,7500000,az
ARASH MEDICAL PRODUCTION LTD,HILUX SERVICES LP,2014-07-04,1407035107325514 PAYMENT FOR EQUIPMENT CONTRACT 001/ 14,EUR,7500000,10259357,7500000,az
HILUX SERVICES LP,BONDWEST LLP,2014-07-07,1407075077944614 PAYMENT TO THE CONTRACT N 28 DD.12.09.2 013,USD,-1e+06,1000000,731040,az
HILUX SERVICES LP,BONDWEST LLP,2014-07-07,1407075072213530 PAYMENT TO THE CONTRACT N 28 DD.12.09.2 013,USD,-1e+06,1000000,731040,az
HILUX SERVICES LP,FABERLEX LP,2014-07-07,1407075076943278 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-1e+06,1000000,731040,az
HILUX SERVICES LP,RICHFIELD TRADING L.P.,2014-07-07,1407075070119418 PAYMENT TO THE CONTRACT N.12/1 DD.29.06 .2014,USD,-1e+06,1000000,731040,az
HILUX SERVICES LP,FABERLEX LP,2014-07-07,1407075074968510 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-732000,732000,535121.28,az
HILUX SERVICES LP,CEMENA SERVICES LIMITED,2014-07-07,1407075025744742 PAYMENT TO THE CONTRACT N.28 DD. 01 .10 .12 FOR CONSULTING SERVICES.,USD,-3e+05,300000,219312,az
HILUX SERVICES LP,JIHAI HOLDING GROUP CO LIMITED,2014-07-07,1407075020019226 PAYMENT TO THE INVOICE N.756 DD.30. 06. 2014,USD,-260000,260000,190070.4,az
HILUX SERVICES LP,CITYPORT CONTRACTS L.P.,2014-07-07,1407075074607962 CONTRACT N 0042 DD 01.08.2013,USD,-235500,235500,172159.92,az
HILUX SERVICES LP,CANVAS INDUSTRY CORP.,2014-07-07,1407075030964486 PAYMENT TO THE CONTRACT N 010 DD.01 .06 .2013 FOR BUILDING MATERIALS.,USD,-211500,211500,154614.96,az
HILUX SERVICES LP,SAGER ECKART,2014-07-07,1407075025282374 PAYMENT TO THE INVOICE N.544 DD.07. 07. 2014 FOR CONSULTING SERVICES,EUR,-150000,205188,150000,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2014-07-07,1407075073410746 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,USD,-150000,150000,109656,az
HILUX SERVICES LP,FABERLEX LP,2014-07-07,1407075077574774 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,PANORAMA - VVM S.R.O.,2014-07-07,1407075023156006 PAYMENT TO THE CONTRACT N C160604 F OR REAL ESTATE.,USD,-1e+05,100000,73104,az
HILUX SERVICES LP,SEA SOTRA (LONDON)LTD,2014-07-07,1407075020764614 PAYMENT TO THE INVOICE N.14/106 DD. 24. 06.2014,USD,-90705.94,90706,66309.67,az
HILUX SERVICES LP,SEA SOTRA (LONDON)LTD,2014-07-07,1407075022958918 PAYMENT TO THE INVOICE N.14/110 DD. 30. 06.2014,USD,-73446.95,73447,53692.66,az
HILUX SERVICES LP,SYSCON FZE,2014-07-07,1407075025750310 INVOICE N. SO/2014/2192 DD.03.07.20 14,USD,-70805,70805,51761.29,az
HILUX SERVICES LP,VARNA TRADING LTD,2014-07-07,1407075025550438 PAYMENT TO THE INVOICE N 112 DD 28. 06. 2014 FOR NATURAL LEATHER,USD,-46240,46240,33803.29,az
HILUX SERVICES LP,EDUARD LINTNER,2014-07-07,1407075034466270 PAYMENT TO THE CONTRACT 0018/22 DD 03.0 6.2013 FOR MACHINE,EUR,-41000,56085,41000,az
HILUX SERVICES LP,PARY INTERNATIONAL,2014-07-07,1407075031893638 PAYMENT TO THE CONTRACT N 038 DD 11 .09 .2013 FOR EQUIPMENT,EUR,-26000,35566,26000,az
HILUX SERVICES LP,PARY INTERNATIONAL,2014-07-07,1407075037544614 PAYMENT TO THE CONTRACT N 038 DD 11 .09 .2013 FOR EQUIPMENT,EUR,-23510,32160,23510,az
HILUX SERVICES LP,SPAZIO ITALIA SRL,2014-07-07,1407075037744742 PAYMENT TO THE INVOICE 123 DD.13.06 .20 14 FOR CLOTHES AND SERVICES.,EUR,-21000,28727,21000,az
HILUX SERVICES LP,FABERLEX LP,2014-07-07,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,EUR,-20000,27359,20000,az
HILUX SERVICES LP,LORO PIANA,2014-07-07,1407075037844678 PAYMENT TO THE CONTRACT N.35 DD.03. 12. 2013,EUR,-18327,25070,18327,az
HILUX SERVICES LP,FIT-FOOD KFT,2014-07-07,1407075035350310 PAYMENT TO THE CONTRACT IMT-16.05.1 4 F OR FOOD.,EUR,-15368,21023,15368,az
HILUX SERVICES LP,LEONHARD KURZ STIFTUNG & CO.KG,2014-07-07,1407075035153222 PAYMENT TO THE INVOICE N.574 DD.07.07.2 014,EUR,-13958.59,19095,13958.59,az
HILUX SERVICES LP,HAZAR INSAAT DIS TIC LTD STI,2014-07-07,1407075023356134 PAYMENT TO THE CONTRACT N 0211 DD.0 5.0 6.2013 FOR CONSTRUCTION MATERIAL S.,USD,-11020,11020,8056.06,az
HILUX SERVICES LP,MR. JOVDAT GULIYEV,2014-07-07,1407075023456070 PAYMENT TO THE INVOICE N 002 DD.12. 12. 2013 FOR SERVICE.,GBP,-10000,17150,12537.17,az
HILUX SERVICES LP,FABERLEX LP,2014-07-07,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,EUR,-7000,9576,7000,az
HILUX SERVICES LP,HANSGROHE AG,2014-07-07,1407075031261766 PAYMENT TO THE INVOICE N.878 DD. 07.07. 2014,EUR,-1872.26,2562,1872.26,az
HILUX SERVICES LP,SEA SOTRA (LONDON)LTD,2014-07-07,1407075021061638 PAYMENT TO THE INVOICE N.14/111 DD. 02. 07.2014,USD,-1260,1260,921.11,az
BAKTELEKOM MMC,HILUX SERVICES LP,2014-07-07,"1407075100513598 CONTRACT N01 29.05.2013  /FEE/USD53,5",USD,2899946.5,2899947,2119976.89,az
BAKTELEKOM MMC,HILUX SERVICES LP,2014-07-07,"1407075104951250 CONTRACT N01 29.05.2013  /FEE/USD53,5",USD,3959946.5,3959947,2894879.29,az
HILUX SERVICES LP,FABERLEX LP,2014-07-08,1407085076478580 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-1200000,1200000,877248,az
HILUX SERVICES LP,FABERLEX LP,2014-07-08,1407085072036524 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,USD,-874000,874000,638928.96,az
HILUX SERVICES LP,LGS COMMERCE LIMITED,2014-07-08,1407085071895668 PAYMENT TO THE CONTRACT N.22 DD.30.06.2 014,USD,-4e+05,400000,292416,az
HILUX SERVICES LP,STAMPTONE SERVICES L.P.,2014-07-08,1407085034667916 PAYMENT TO THE CONTRACT N.71 DD.10. 12. 2013 FOR CONSTRUCTION MATERIALS.,USD,-250000,250000,182760,az
HILUX SERVICES LP,NEW ZHONG YUAN CERAMICS IMPORT AND,2014-07-08,1407085026649596 PAYMENT TO THE INVOICE N.141 DD.08. 07. 2014,USD,-183635.53,183636,134244.92,az
HILUX SERVICES LP,GENTECH FZE,2014-07-08,1407085024160796 PAYMENT TO THE CONTRACT N 876 DD.01 .11 .2013 FOR ELECTRICAL MATERIALS.,USD,-160000,160000,116966.4,az
HILUX SERVICES LP,SERANIT GRANIT SERAMIK SANAYI,2014-07-08,1407085026549404 PAYMENT TO THE INVOICE N.6588 DD 07 .07 .2014,USD,-130000,130000,95035.2,az
HILUX SERVICES LP,"TENG YING TRADE CO.,LIMITED",2014-07-08,1407085020358516 PAYMENT TO THE CONTRACT N 2212 DD.0 9.0 8.2013 FOR CONSTRUCTION MATERIAL S.,USD,-130000,130000,95035.2,az
HILUX SERVICES LP,FONDAZIONE NOVAE TERRAE,2014-07-08,1407085032373676 PAYMENT TO THE CONTRACT N.W/N DD.18 .12 .2013 FOR CONTRIBUTION,EUR,-105000,143631,105000,az
HILUX SERVICES LP,ZHEJIANG WEIDA INDUSTRY AND INVESTM,2014-07-08,1407085022273740 PAYMENT TO THE CONTRACT N 430 DD.01 .06 .2013 FOR EQUIPMENT.,USD,-100100,100100,73177.1,az
HILUX SERVICES LP,RENAISSANCE ASSOCIATES S.A.,2014-07-08,1407085024468044 PAYMENT TO THE CONTRACT N 01 DD 27. 05. 2013 FOR EQUIPMENT.,USD,-99750,99750,72921.24,az
HILUX SERVICES LP,ZAOR NP KONFIL,2014-07-08,1407085020258324 PAYMENT TO THE CONTRACT N.K006/14 D D.1 2.03.2014FOR FOOD,USD,-96229,96229,70347.25,az
HILUX SERVICES LP,EKINOKS ULUSLARARARSI TAS LTD STI,2014-07-08,1407085025141300 PAYMENT TO THE INVOICE 519 DD.07.07 .20 14,USD,-80000,80000,58483.2,az
HILUX SERVICES LP,MEHMET KAVALCI,2014-07-08,1407085024941428 PAYMENT TO THE INVOICE N.6968 DD.08 .07 .2014,USD,-63200,63200,46201.73,az
HILUX SERVICES LP,PETRO-CANADA EUROPE LUBRICANTS LTD.,2014-07-08,1407085020769532 PAYMENT TO THE CONTRACT N.23 DD.02. 01. 2014,USD,-62043,62043,45355.91,az
HILUX SERVICES LP,HONGKONG JAFZA SANITARY WARE,2014-07-08,1407085020069468 PAYMENT TO THE CONTRACT N.12 DD.02. 12. 2013,USD,-60000,60000,43862.4,az
HILUX SERVICES LP,SOCIETA ITALIA S.R.L,2014-07-08,1407085032363708 PAYMENT TO THE CONTRACT N.ZB 130712 2GF L DD. 05.11.2013 FOR WEARS,EUR,-50000,68396,50000,az
HILUX SERVICES LP,HAZAR INSAAT DIS TIC LTD STI,2014-07-08,1407085024747124 PAYMENT TO THE CONTRACT N 0211 DD.0 5.0 6.2013 FOR CONSTRUCTION MATERIAL S.,USD,-45000,45000,32896.8,az
HILUX SERVICES LP,GROHE AG,2014-07-08,1407085032552820 PAYMENT TO THE INVOICE N.545 DD.08.07.2 014,EUR,-42833.42,58593,42833.42,az
HILUX SERVICES LP,"APPOLLO(CHINA) CO.,LTD",2014-07-08,1407085024567980 PAYMENT TO THE CONTRACT N.874 DD.04 .12 .2013,USD,-40000,40000,29241.6,az
HILUX SERVICES LP,BRUNELLO CUCINELLI SPA,2014-07-08,1407085034358140 INVOICE N.ZAMIN140217-1GFL DD.20.06 .20 14 FOR WEARS,EUR,-30000,41038,30000,az
HILUX SERVICES LP,RUNHUO CO LIMITED,2014-07-08,1407085026862220 PAYMENT TO THE CONTRACT N 658 DD 01 .09 .2013,USD,-25116,25116,18360.8,az
HILUX SERVICES LP,CHANGSHU YANLAISHENG TEXTILE CO.LTD,2014-07-08,1407085026452252 PAYMENT TO THE CONTRACT N 4392 DD.1 1.0 6.2013 FOR TEXTILES.,USD,-20000,20000,14620.8,az
