name,jurisdiction,type,name_norm
VOLKSWAGEN AG,DE,Company,VOLKSWAGEN AG
ART DE SUISSE S.R.O.,CZ,Company,ART DE SUISSE S.R.O.
HAINING JIACHENG IMPORT + EXPORT CO,CN,Company,HAINING JIACHENG IMPORT + EXPORT CO
INTICOM SPA,IT,Company,INTICOM S.P.A.
"BOTHEVEN MACHINERY INDUSTRIAL CO.,L",TW,Company,"BOTHEVEN MACHINERY INDUSTRIAL CO., L"
"AUTO PARTS CO.,LTD.",US,Company,"AUTO PARTS CO., LTD"
LATFORM INDUSTRIES LLP,GB,Company,LATFORM INDUSTRIES LLP
ZUBLER GERATEBAU GMBH,DE,Company,ZUBLER GERATEBAU GMBH
LUNI EXPORT TRADING PVT LTD,IN,Company,LUNI EXPORT TRADING PVT LTD
ANDREA MONTELPARE SPA,IT,Company,ANDREA MONTELPARE SPA
BERNHARD RAAB,DE,Person,BERNHARD RAAB
CAN AKGUN,,Person,CAN AKGUN
Ms. H.Trevor,,Person,Ms. H.Trevor
AMERITECH GENERAL TRADING LLC,AE,Company,AMERITECH GENERAL TRADING LLC
AL NASER GENERAL TRADING LLC,AE,Company,AL NASER GENERAL TRADING LLC
EXPA UK LTD,GB,Company,EXPA UK LTD
RONGCHENG JINNONG GARMENT MAKING,CN,Company,RONGCHENG JINNONG GARMENT MAKING
BOST HOLDINGS,KR,Company,BOST HOLDINGS
BOGDANOV GENNADIY VASILEVICH,,Person,BOGDANOV GENNADIY VASILEVICH
YIWU HENG TAI INTERNATIONAL TRADE,CN,Company,YIWU HENG TAI INTERNATIONAL TRADE
PAKIN S.R.L.,IT,Company,PAKIN S.R.L.
LTD ROTACK,GB,Company,ROTRACK LTD
EUROPEAN TOBACCO INC.,VG,Company,EUROPEAN TOBACCO INC.
HOTMEED LIMITED,CY,Company,HOTMEED LIMITED
FOSHAN ENSHAN IMPORT AND EXPORT CO,CN,Company,FOSHAN ENSHAN IMPORT AND EXPORT CO
"FOSHAN AIJIA CERAMICS CO., LTD",CN,Company,"FOSHAN AIJIA CERAMICS CO., LTD"
NNB TRADING GMBH,DE,Company,NNB TRADING GMBH
UMIT USLU,TR,Person,UMIT USLU
GENTECH FZE,AE,Company,GENTECH FZE
TURBILLION LLC,US,Company,TURBILLION LLC
STEELEX LTD,,Company,STEELEX LTD
AHMED YASADI,TR,Person,AHMED YASADI
"KINTOWE INTERNATIONAL CO.,LIMITED",HK,Company,"KINTOWE INTERNATIONAL CO., LIMITED"
YAKUT HALI TEKSTIL SANAYI VE TICARE,TR,Company,YAKUT HALI TEKSTIL SANAYI VE TICARE
ZEN TRAX INC.,AE,Company,ZEN TRAX INC.
HONGKONG OCEAN IMPORT AND EXPORT CO,HK,Company,HONGKONG OCEAN IMPORT AND EXPORT CO
TEKNOPLAS POLYSTER PLASTIK SAN VE T,TR,Company,TEKNOPLAS POLYSTER PLASTIK SAN VE T
"LUCK SHOES INTL CO., LIMITED",HK,Company,"LUCK SHOES INTL CO., LIMITED."
TEGOLA CANADESE S.P.A.,IT,Company,TEGOLA CANADESE S.P.A.
FIMAR GIDA SAN.TIC LTD.STI.,TR,Company,FIMAR GIDA SAN.TIC LTD.STI.
"SHANDONG WEIDA MACHINERY CO,LTD",CN,Company,"SHANDONG WEIDA MACHINERY CO, LTD"
NOVAMUR GMBH,DE,Company,NOVAMUR GMBH
CAFFE GIACOSA SRL,IT,Company,CAFFE GIACOSA SRL
PERA SERAMIK SAN. VE TIC. A.S.,TR,Company,PERA SERAMIK SANAYI VE TICARET A.S.
HB BODY S.A.,GR,Company,HB BODY S.A.
YSL SS14,CH,Company,LUXURY GOODS INTERNATIONAL (LGI) S.A.
HEMPEL (POLAND) SP.Z.O.O.,PL,Company,HEMPEL (POLAND) SP.Z.O.O.
EKOM ECZACIBASI DIS TICARET A.S.,TR,Company,EKOM ECZACIBASI DIS TICARET A.S.
EKSEN BANT IZOLASYON VE YAPI MALZ.,TR,Company,EKSEN BANT IZOLASYON VE YAPI MALZ.
EXPEDITORS INTERNATIONAL SWITZERLAN,CH,Company,EXPEDITORS INTERNATIONAL SWITZERLAND
DGA S.R.L.,IT,Company,DGA S.R.L.
TACONY - POWR-FLITE,US,Company,TACONY - POWR-FLITE
KAR-TES KESICI TAKIMLAR SAN. VE TIC,TR,Company,KAR-TES KESICI TAKIMLAR SAN. VE TIC
ZEWI JUWELEN HANDELS GMBH,DE,Company,ZEWI JUWELEN HANDELS GMBH
"CHANGZHOU PRIDON WOOD PRODUCTS CO.,",CN,Company,"CHANGZHOU PRIDON WOOD PRODUCTS CO., "
UKCAN LTD,GB,Company,UKCAN LTD
YAZICI INSAAT VE SIHHI TESISAT,TR,Company,YAZICI INSAAT VE ENDUSTRI SIHHI TESISAT
ALEKSANDER SPIES,DE,Person,ALEXANDER SPIES
EAST AUTO,,Company,EAST AUTO
CHARTHOLM SALES INC.,PA,Company,CHARTHOLM SALES INC.
OZMETAL PASLANMAZ CELIK SAN. VE TIC,TR,Company,OZMETAL PASLANMAZ CELIK SAN. VE TIC
"DERYA LASTIK,PLASTIK VE KALIP SANAY",TR,Company,"DERYA LASTIK, PLASTIK VE KALIP SANAY"
SARK FIRCA SANAYI,TR,Company,SARK FIRCA SANAYI
GF + GEORG FISHER PIPING SYSTEMS,CH,Company,GF + GEORG FISHER PIPING SYSTEMS
SHANGHAI ZHONGJI MACHINERY MANUFACT,CN,Company,SHANGHAI ZHONGJI MACHINERY MANUFACT
HDR DIS TICARET LIMITED SIRKETI,TR,Company,HDR DIS TICARET LIMITED SIRKETI
EVS EREN VANA SANAYI VE TICARET LTD,TR,Company,EVS EREN VANA SANAYI VE TICARET LTD
Thomas Grabbe,DE,Person,Thomas Grabbe
MONKEYDU SPACE DESIGN (SZ) LTD,CN,Company,MONKEYDU SPACE DESIGN (SZ) LTD
PRABAL GURUNG LLC,US,Company,PRABAL GURUNG LLC
ENKI IC VE DIS TICARET PAZ.SAN.TIC.,TR,Company,ENKI IC VE DIS TICARET PAZ. SAN. TIC.
KONSTANZE MAYER,CH,Person,KONSTANZE MAYER
SPARKLING OIL STAR,,Company,SPARKLING OIL STAR LTD.
KWARTA INTERNATIONAL FZE,AE,Company,KWARTA INTERNATIONAL FZE
"PINGCHUAN TRADE CO., LIMITED",HK,Company,"PINGCHUAN TRADE CO., LIMITED"
FILIAL OAO GOMELDREV PARKETNIY ZAVO,BY,Company,FILIAL OAO GOMELDREV PARKETNIY ZAVO
"ZHEJIANG HAIZHU PIPE CO.,LTD",CN,Company,"ZHEJIANG HAIZHU PIPE CO., LTD"
HANGZHOU WANLUN IMPORT AND EXPORT C,CN,Company,HANGZHOU WANLUN IMPORT AND EXPORT C
MKT PRODUCTION COMMERCIAL LTD,AZ,Company,MKT PRODUCTION COMMERCIAL LTD
CALVERT LIMITED,,Company,CALVERT LIMITED
"HANGZHOU JOYKIE IND. AND TRAD. CO.,",CN,Company,HANGZHOU JOYKIE IND AND TRAD CO.
SALAR MILANO S.R.L.S.,IT,Company,SALAR MILANO S.R.L.S.
ALEXANDRA GOLD KUYUMCULUK SANAYI,TR,Company,ALEXANDRA GOLD KUYUMCULUK SANAYI VE
HEMERA KUYUMCULUK SAN. VE TIC. LTD,TR,Company,HEMERA KUYUMCULUK SAN. VE TIC. LTD
ILHAM IBRAHIMOV,TR,Person,ILHAM IBRAHIMOV
Tereach Trading LLP,GB,Company,TEREACH TRADING LLP
PANORAMA - VVM S.R.O.,CZ,Company,PANORAMA - VVM S.R.O.
MAYA PLASTIK AMBALAJ SAN. VE TIC.,TR,Company,MAYA PLASTIK AMBALAJ SAN. VE TIC.
SHUNDE LIGHT INDUSTRIAL PRODUCTS IM,CN,Company,SHUNDE LIGHT INDUSTRIAL PRODUCTS IM
L & M CAR GMBH,DE,Company,L & M CAR GMBH
MAJOR AUTOMOTIVE GOUP INC.,US,Company,MAJOR AUTOMOTIVE GROUP INC.
LG ELECTRONICS GULF FZE,AE,Company,LG ELECTRONICS GULF FZE
STAR DIGITAL CO LIMITED,HK,Company,STAR DIGITAL CO LIMITED
BGS BILGI SISTEMLERI SANAYI VE TIC,TR,Company,BGS BILGI SISTEMLERI SANAYI VE TIC
FOSHAN YING-AN ECONOMY AND TRADE,CN,Company,FOSHAN YING-AN ECONOMY AND TRADE
BURSAN BURSA SANAYI ISLETMELERI A.S,TR,Company,BURSAN BURSA SANAYI ISLETMELERI A.S
A2 DI DAVIDE AGRATI + C. SNC,IT,Company,A2 DI DAVIDE AGRATI + C. SNC
EBRO ARMATUREN OTOMASYON SISTEMLERI,TR,Company,EBRO ARMATUREN OTOMASYON SISTEMLERI
SERAPOOL PORSELEN SANAYI VE TICARET,TR,Company,SERAPOOL PORSELEN SANAYI VE TICARET
UMUTPLAST IC DIS TICARET LTD.STI.,TR,Company,UMUTPLAST IC DIS TICARET LTD.STI.
MEGA DANISMANLIK TEMSILCILIK DIS,TR,Company,MEGA DANISMANLIK TEMSILCILIK DIS
MAP INSAAT VE SANAYI URUNLERI PAZAR,TR,Company,MAP INSAAT VE SANAYI URUNLERI PAZAR
NATUREL MUHENDISLIK MADENCILIK INSA,TR,Company,NATUREL MUHENDISLIK MADENCILIK INSA
ALGAN METAL SANAYI VE TICARET A.S.,TR,Company,ALGAN METAL SANAYI VE TICARET A.S.
EGE -MAR TEKNOLOJI,TR,Company,EGE -MAR TEKNOLOJI
BAKA LIMITED,,Company,BAKA LIMITED
HANNARO AUTOPARTS CORP.,KR,Company,HANNARO AUTOPARTS CORP.
SAYGIN HIDROFOR VE POMPA SISTEMLERI,TR,Company,SAYGIN HIDROFOR VE POMPA SIS. SAN.
MTM ELEKTRIK ELEKTRONIK SAN.TIC.LTD,TR,Company,MTM ELEKTRIK ELEKTRONIK SAN.TIC.LTD
DLT GROUP INC,US,Company,DLT GROUP INC
"SIAM SANITARY WARE INDUSTRY CO.,LTD",TH,Company,"SIAM SANITARY WARE INDUSTRY CO., LTD"
PHILIPS LIGHTING POLAND S.A.,PL,Company,PHILIPS LIGHTING POLAND S.A.
BORPAS PLASTIK VE SAN. TIC. A.S.,TR,Company,BORPAS PLASTIK VE SAN. TIC. A.S.
JC TRADE LTD,,Company,JC TRADE LTD
KAYBEE EXIM PTE LTD,SG,Company,KAYBEE EXIM PTE LTD
BONAVERI S.R.L.,IT,Company,BONAVERI S.R.L.
LA PRAIRIE GROUP AG,CH,Company,LA PRAIRIE GROUP AG
TEKSAN JENERATOR ELEKTRIK SAN VE TI,TR,Company,TEKSAN JENERATOR ELEKTRIK SAN VE TI
BTS INT LIMITED,GB,Company,BTS INT LIMITED
NINGBO PEICHEN ELECTRIC APPLIANCE C,CN,Company,NINGBO PEICHEN ELECTRIC APPLIANCE C
ROMANA BOHINC S.P.,SI,Company,Bo.Consulting Romana Bohinc S.P.
TANER TAK-TAK,BE,Company,TANER TAK-TAK
DEVENTER PROFILE BETEILIGUNGS GMBH,DE,Company,DEVENTER PROFILE BETEILIGUNGS GMBH
RENAISSANCE CONSTRUCTION,,Company,RENAISSANCE CONSTRUCTION
SUPER GULF TRADING LLC,AE,Company,SUPER GULF TRADING LLC
DOST KARDESLER TEKS SAN VE TIC,TR,Company,DOST KARDESLER TEKS SAN VE TIC
THOMAS GRABBE,DE,Person,Thomas Grabbe
"YOTO IMPORT AND EXPORT CO.,LTD",CN,Company,"YOTO IMPORT AND EXPORT CO., LTD"
HEILONGJIANG LAIKEDA IMPORT+EXPORT,"CN
",Company,HEILONGJIANG LAIKEDA IMPORT AND EXPORT
OMEMPIRE LLC,,Company,OMEMPIRE LLC
TSOUPELI OLYMPIA,GR,Person,TSOUPELI OLYMPIA
LLC METRA LTD,UA,Company,LLC METRA LTD
CTS-AGRO LLC,AZ,Company,CTS-AGRO LLC
"GAOMI YICHEN LABOR PRODUCTS CO.,LTD",CN,Company,"GAOMI YICHEN LABOR PRODUCTS CO., LTD"
RASCHKA TRUCKS GMBH,DE,Company,RASCHKA TRUCKS GMBH
GRAND DIS TIC. LTD. STI.,TR,Company,GRAND DIS TIC. LTD. STI.
SONNE CHRYSTAL - ONDREJ TRCAN,SK,Company,SONNE CHRYSTAL - ONDREJ TRCAN
TUNAYLAR BASKUL SAN. VE TIC. A.S.,TR,Company,TUNAYLAR BASKUL SAN. VE TIC. A.S.
PRANA INVESTMENTS MANAGEMENT INC.,PA,Company,PRANA INVESTMENTS MANAGEMENT INC.
REVIGRES - INDUSTRIA DE REVESTIMENT,PT,Company,REVIGRES - INDUSTRIA DE REVESTIMENT
TOO NUR KAS LTD,KZ,Company,TOO NUR KAS LTD
"SAYAN - UUL CO.,LTD",MN,Company,"SAYAN - UUL CO., LTD"
PETEK YAPI GER.DAG.VE PAZ.,TR,Company,PETEK YAPI GER.DAG.VE PAZ.
VICO VATION CORP,TW,Company,VICOVATION CORP.
CALLIDUS CO. LIMITED,,Company,CALLIDUS CO. LIMITED
EAE AYDINLATMA A.S.,TR,Company,EAE AYDINLATMA A.S.
BRAUN MELSUNGEN AG,DE,Company,BRAUN MELSUNGEN AG
ELAFLEX GUMMI EHTERS GMBH,DE,Company,ELAFLEX-GUMMI EHTERS GMBH
ALDEM CELIK,TR,Person,ALDEM CELIK
UYSAL AMBALAJ DIS.TIC.LTD.STI,TR,Company,UYSAL AMBALAJ DIS.TIC.LTD.STI
DIGIPOS STORE SOLUTIONS INTERNATION,GB,Company,DIGIPOS STORE SOLUTIONS INTERNATION
TEGA MUHENDISLIK SAN. VE TIC. A.S.,TR,Company,TEGA MUHENDISLIK SAN. VE TIC. A.S.
INJOY MOTION CORP,TW,Company,INJOY MOTION CORP
DATVILLE UNITED LLP,GB,Company,DATVILLE UNITED LLP
MZ GRUP TEKSTIL DAYANIKLI TUKETIM,TR,Company,MZ GRUP TEKSTIL DAYANIKLI TUKETIM
LIZA DANISMANLIK DIS TICARET AS,TR,Company,LIZA DANISMANLIK DIS TICARET A.S.
PERFECT BEST ASSET MANAGEMENT INC,TW,Company,PERFECT BEST ASSET MANAGEMENT INC
ZHEJIANG RISHENG SANITARY WARE,CN,Company,ZHEJIANG RISHENG SANITARY WARE
GIORGIA PISCIUTTI,IT,Person,GIORGIA PISCIUTTI
PEARL TEXTILE CO.LIMITED,HK,Company,PEARL TEXTILE CO.LIMITED
FALKON IMPEX A.G,,Company,FALKON IMPEX A.G
VEHHAP BAYRAM,TR,Person,VEHHAP BAYRAM
"BERDAN CIVATA,BERDAN CIVATA SOMUN",TR,Company,"BERDAN CIVATA, BERDAN CIVATA SOMUN"
VEKA KIMYA PETROL VE TAS.SAN.TIC.,TR,Company,VEKA KIMYA PETROL VE TAS.SAN.TIC.
ENKI IC VE DIS TIC.PAZ.DAN.SAN.TIC.,TR,Company,ENKI IC VE DIS TICARET PAZ. SAN. TIC.
FAF VANA SANAYI VE TICARET A.S,TR,Company,FAF VANA SANAYI VE TICARET A.S.
ALBISETTI SPA,IT,Company,ALBISETTI SPA
NEOFIT POLIETILEN EK PARCA VE ALIN,TR,Company,NEOFIT POLIETILEN EK PARCA VE ALIN
SAMSUN MAKINA SANAYI A.S,TR,Company,SAMSUN MAKINA SANAYI A.S
"TEMSER CELIK IMALAT,ISI,MAKINA",TR,Company,"TEMSER CELIK IMALAT, ISI, MAKINA"
MIRACLE TOM INDUSTRIES (HK) LIMITED,HK,Company,MIRACLE TOM INDUSTRIES (HK) LIMITED
"FOSHAN ENSHAN IMPORT+EXPORT CO.,LTD",CN,Company,FOSHAN ENSHAN IMPORT AND EXPORT CO
SERANIT GRANIT SERAMIK SANAYI,TR,Company,SERANIT GRANIT SERAMIK SANAYI VE
EASY INTERNATIONAL,CN,Company,EASY INTERNATIONAL LOGISTICS (HONG
PNL INSAAT TURIZM SAN.TIC.A.S,TR,Company,PNL INSAAT TURIZM SAN.TIC.A.S
KEY BANYO VE MUTFAKURUNLERI,TR,Company,KEY BANYO VE MUTFAKURUNLERI
CH.P. YAR TRANS TORG,,Company,CH.P. YAR TRANS TORG
STANDART CONTA SAN. VE TIC.LTD.STI,TR,Company,STANDART CONTA SAN. VE TIC.LTD.STI
SOCIETA ITALIA S.R.L,IT,Company,SOCIETA ITALIA S.R.L
IRS GROUP LLC,GB,Company,IRS GROUP LLC
"ZHEJIANG MENGRUN KNITTING CO.,LTD",CN,Company,"ZHEJIANG MENGRUN KNITTING CO., LTD"
ROBELLO(SHANGHAI)THERMAL TECHNOLOGY,CN,Company,ROBELLO (SHANGHAI) THERMAL TECHNOLOGY
"ZHEJIANG RUITAI PLASTIC CO., LTD",CN,Company,"ZHEJIANG RUITAI PLASTIC CO., LTD"
MATUSAN MINING+STONE,TR,Company,MATUSAN MINING+STONE
YAKUT HALI TEKSTIL SAN.VE TIC.,TR,Company,YAKUT HALI TEKSTIL SANAYI VE TICARE
BERNDORF METALL UND BADERBAU GMBH,AT,Company,BERNDORF METALL UND BADERBAU GMBH
GUNSU ENERJI SISTEMLERI VE KONFOR,TR,Company,GUNSU ENERJI SISTEMLERI VE KONFOR
"DACHEN SHIRT INDUSTRY CO.,LTD",CN,Company,"DACHEN SHIRT INDUSTRY CO., LTD"
ROSENDAHL CONCEPTKIOSK A/S,DK,Company,ROSENDAHL CONCEPTKIOSK A/S
GAELIC INT L HOLDINGS LTD.,GB,Company,GAELIC INT L HOLDINGS LTD.
HONKONG XUANTAI TRADE LIMITED,HK,Company,HONKONG XUANTAI TRADE LIMITED
SUNSHINE CHINA AFRICA LINK CORP.,CN,Company,SUNSHINE CHINA AFRICA LINK CORP.
BOTTERO SPA,IT,Company,BOTTERO SPA
"JOSE OSET Y CIA, S.L.",ES,Company,"JOSE OSET Y CIA, S.L."
EXPEDITORS INTERNATIONAL,CH,Company,EXPEDITORS INTERNATIONAL SWITZERLAND
AZULEJOS BORJA S.L.,ES,Company,AZULEJOS BORJA S.L.
CIFRE CERAMICA S.L,ES,Company,CIFRE CERAMICA S.L
ATS GLOBAL TURKEL,TR,Company,ATS GLOBAL TURKEL
"HONGKONG SHUANGWEI TRADING CO.,",CN,Company,"HONGKONG SHUANGWEI TRADING CO., "
EMAKS MOBILYA AKSESUARLARI,TR,Company,EMAKS MOBILYA AKSESUARLARI ITH. IHR
BASTR-COM SRL,MD,Company,BASTR-COM SRL
ISHER TRADING LLC,AE,Company,ISHER TRADING LLC
"NEO CTR CO., LTD.",KR,Company,"NEO CTR CO., LTD."
BIN TAMIM ELECTRONICS LLC,AE,Company,BIN TAMIM ELECTRONICS LLC
STARWOOD ORMAN URUNLERI SANAYI A.S,TR,Company,STARWOOD ORMAN URUNLERI SANAYI A.S
"SHANDONG LONGCHENG EXPORTING CO.,",CN,Company,"SHANDONG LONGCHENG EXPORTING CO., LTD"
MR. JOVDAT GULIYEV,GB,Person,MR. JOVDAT GULIYEV
HAZAR INSAAT DIS.TIC. LTD.STI,TR,Company,HAZAR INSAAT DIS.TIC. LTD. STI
FS DOLPHIN SANITARY WARE CO LIMITED,HK,Company,FS DOLPHIN SANITARY WARE CO LIMITED
TURSAN SERAMIK SAN VE TIC LTD STL,TR,Company,TURSAN SERAMIK SAN VE TIC LTD STI
INCI AKU SAN. VE TIC.A.S.,TR,Company,INCI AKU SAN. VE TIC. A.S.
VARISCO S.P.A.,IT,Company,VARISCO S.P.A.
IMC INTERNATIONAL MOBILE CRANES,DE,Company,IMC INTERNATIONAL MOBILE CRANES
JUREN DOO,HR,Company,JUREN D.O.O.
VELI AKGUN INSAAT SERAMIK,TR,Company,VELI AKGUN INSAAT SERAMIK
TRIOTECH AMUSEMENT,CA,Company,TRIOTECH AMUSEMENT
HERIS SERAMIK VE TURIZM SAN.A.S.,TR,Company,HERIS SERAMIK VE TURIZM SAN.A.S.
CANDATA BILISIM TEKNOLOJILERI,TR,Company,CANDATA BILISIM TEKNOLOJILERI
GREENFIELD INDUSTRIES CORP.,US,Company,GREENFIELD INDUSTRIES CORP.
CEMENA SERVICES LIMITED,,Company,CEMENA SERVICES LIMITED
PRJSC PENTOPAK,UA,Company,PrJSC PentoPak
STAFF SERVICE S.R.L. UNIPERSONALE,IT,Company,STAFF SERVICE S.R.L. UNIPERSONALE
"SHENZEN DONGDA INDUSTRIAL CO., LTD.",CN,Company,"SHENZEN DONGDA INDUSTRIAL CO., LTD."
"YADI ENGINEERING CO., LTD",CN,Company,"YADI ENGINEERING CO., LTD"
CONCORD INSAAT IC VE DIS TICARET,TR,Company,CONCORD INSAAT IC VE DIS TICARET
EPSILON NDT END.KONT.SIS.SAN,TR,Company,EPSILON NDT END.KONT.SIS.SAN
HONGKONG JAFZA SANITARY WARE,HK,Company,HONGKONG JAFZA SANITARY WARE
CRISTALLERIE DE PARIS,FR,Company,CRISTALLERIE DE PARIS
DOGUS VANA VE DOKUM SAN.TIC.,TR,Company,DOGUS VANA VE DOKUM SAN. TIC.
POLYFLOR LTD,GB,Company,POLYFLOR LIMITED
3B SCIENTIFIC EUROPE KFT,HU,Company,3B SCIENTIFIC EUROPE KFT
LTD ROTRACK,GB,Company,ROTRACK LTD
SAYGIN HIDROFOR VE POMPA SIS.SAN.,TR,Company,SAYGIN HIDROFOR VE POMPA SIS. SAN.
MERT DOKUM INSAAT SAN.VE TIC.,TR,Company,MERT DOKUM INSAAT SAN.VE TIC.
KAYSE ENDUSTRIYEL MAMULLER,TR,Company,KAYSE ENDUSTRIYEL MAMULLER
BERKEL DIS TIC LTD STI,TR,Company,BERKEL DIS TIC LTD STI
KUMTEL A.S,TR,Company,KUMTEL A.S
SIMPAS GAYRI MENKUL YATIRIM,TR,Company,SIMPAS GAYRI MENKUL YATIRIM
"TP-LINK TECHNOLOGIES CO., LTD",CN,Company,"TP-LINK TECHNOLOGIES CO., LTD"
SARL DOUX DEVELOPEMENT BOUTIQUE,FR,Company,SARL DOUX DEVELOPEMENT BOUTIQUE
3S MADENCILIK SERAMIK INSAAT,TR,Company,3S MADENCILIK SERAMIK INSAAT
GUANGZHOU ANHORN INDUSTRIAL,CN,Company,GUANGZHOU ANHORN INDUSTRIAL
JIANGSU UNBEATABLE RADIATOR CO.,CN,Company,"JIANGSU UNBEATABLE RADIATOR CO., LTD"
YAKUP OCAL ENKAR MOBILYA DIS,TR,Company,YAKUP OCAL ENKAR MOBILYA DIS
CESARE ATTOLINI SPA.,IT,Company,CESARE ATTOLINI S.P.A.
LUXURY GOODS INTERNATIONAL (LGI)SA,CH,Company,LUXURY GOODS INTERNATIONAL (LGI) S.A.
ORKA AHSAP URUNLERI SANVE TIC.,TR,Company,ORKA AHSAP URUNLERI SAN.VE TIC.LTD
LUXURY GOODS INTERNATIONAL S.A,CH,Company,LUXURY GOODS INTERNATIONAL (LGI) S.A.
ALPER SARIYILDIZ,TR,Person,ALPER SARIYILDIZ
HOTELS+RESTAURANTS MANAGEMENT,GE,Company,HOTELS+RESTAURANTS MANAGEMENT
BANK TECHNIQUE OJSC,AZ,Company,BANK TECHNIQUE OJSC
BAUMANN GUVENLIK SISTEMLERI ALARM.,TR,Company,BAUMANN GUVENLIK SISTEMLERI ALARM
KUTLAY ISIK,TR,Company,KUTLAY ISIK
GENERAL TRADE L.P,GB,Company,General Trade L.P
ARREDOPIU S.R.L.,IT,Company,ARREDOPIU S.R.L.
ARREDAMENTI PENNESI DI PENNESI,IT,Company,ARREDAMENTI PENNESI DI PENNESI
JANELLI + VOLPI S.R.L.,IT,Company,JANELLI + VOLPI S.R.L.
CENTRO PIER ARREDO DESIGN S.R.L,IT,Company,CENTRO PIER ARREDO DESIGN S.R.L
ARTIGO S.P.A.,IT,Company,ARTIGO S.P.A.
SANBERG EUROTRADE L.P.,GB,Company,SANBERG EUROTRADE L.P.
CHRISTIAN DIOR,FR,Company,CHRISTIAN DIOR COUTURE
YASEMIN CELIKEL,TR,Person,YASEMIN CELIKEL
PIERRE BALMAIN SA,FR,Company,PIERRE BALMAIN SA
NEXTMARK SALES LLP,GB,Company,NEXTMARK SALES LLP
MURAD SAL,LB,Company,MURAD SAL
IZMIR MAKPA A.S.,TR,Company,IZMIR MAKPA A.S.
HARPUT TEKSTIL SAN.TIC.AS.,TR,Company,HARPUT TEKSTIL SAN.TIC.AS.
MS. H.TREVOR,,Person,Ms. H. Trevor
TAWAL LIMITED,,Company,TAWAL LIMITED
ODAK PAZARLAMA A.S.,TR,Company,ODAK PAZARLAMA A.S.
MAYOLICA AZULEJOS SL,ES,Company,MAYOLICA AZULEJOS S.L.
FANAL CERAMICAS S.L.,ES,Company,FANAL CERAMICAS S.L.
MEHMET SALIH TUNA,TR,Person,MEHMET SALIH TUNA
TUV AUSTRIA TURK BELGELENDIRME,TR,Company,TUV AUSTRIA TURK BELGELENDIRME
MAGTATECH INTERNATIONAL BV,NL,Company,MAGTATECH INTERNATIONAL BV
CANDY HOOVER EUROASIA,TR,Company,CANDY HOOVER EUROASIA
IBRAHIM COSKUN,TR,Person,IBRAHIM COSKUN
MAZLUM MANGTAY BORU SONDAJCILIK,TR,Person,MAZLUM MANGTAY BORU SONDAJCILIK
ENJOY TYRE CO.LTD.,HK,Company,ENJOY TYRE CO.LTD.
FACTORY S.R.L.,IT,Company,FACTORY S.R.L.
VILLARI SRL,IT,Company,VILLARI SRL
OR ILLUMINAZIONE S.R.L.,IT,Company,OR ILLUMINAZIONE S.R.L.
GILMAR DIVISIONE INDUSTRIA SPA,IT,Company,GILMAR DIVISIONE INDUSTRIA SPA
SWAROVSKI AG,LI,Company,SWAROVSKI INTERNATIONAL DISTRIBUTION AG
FORMA LIGHTING S.R.L.,IT,Company,FORMA LIGHTING S.R.L.
PATRIZIA GARGANTI SRL,IT,Company,PATRIZIA GARGANTI SRL
PEDRET LIGHTING SL,ES,Company,PEDRET LIGHTING SL
FVL S.R.L.,IT,Company,FVL S.R.L.
STONE ITALIANA S.P.A.,IT,Company,STONE ITALIANA S.P.A.
P.V. CADEMARTORI SRL,IT,Company,P.V. CADEMARTORI SRL
CIRO PAONE SPA,IT,Company,CIRO PAONE SPA
AYTESKONSEPT YAPI URUNLERI,TR,Company,AYTESKONSEPT YAPI URUNLERI
CLASSIC LIGHT SRL,IT,Company,CLASSIC LIGHT SRL
DIRECT REMITT. 30 D. I.D,CH,Invalid,DIRECT REMITT. 30 D. I.D
STM SU ARITMA SISTEMLERI MEDIKAL,TR,Company,STM SU ARITMA SISTEMLERI MEDIKAL
AVENUE LTD,IT,Company,LORO PIANA S.P.A
MARIE CLEMENCE SAS,FR,Company,MARIE CLEMENCE SAS
PROCAR (SHANGHAI) INDUSTRY,CN,Company,PROCAR (SHANGHAI) INDUSTRY
LES PETITS JOUEURS,FR,Company,LES PETITS JOUEURS
ISA S.P.A. SOCIETA A SOCIO UNICO,IT,Company,ISA S.P.A.
SALAR MILANO SRLS,IT,Company,SALAR MILANO S.R.L.S.
FRIVOLE SARL,FR,Company,FRIVOLE SARL
MOFRA SHOES SRL,IT,Company,MOFRA SHOES SRL
EAE ELEKTRIK ASAN.END.INS.SAN,TR,Company,EAE ELEKTRIK ASANSOR END. INSAAT SAN
AGRO SEVILLA ACEITUNAS S.C.A.,ES,Company,AGRO SEVILLA ACEITUNAS S.C.A.
TOLWORTH TRADE INVESTMENTS S.A.,PA,Company,TOLWORTH TRADE INVESTMENTS S.A
AHMET ORGUN,TR,Person,AHMET ORGUN
LORO PIANA,IT,Company,LORO PIANA S.P.A
PERA SERAMIK SANAYI VE TICARET A.S.,TR,Company,PERA SERAMIK SANAYI VE TICARET A.S.
GD MIDEA AIR-CONDITIONING EQUIPMENT,CN,Company,GD MIDEA AIR-CONDITIONING EQUIPMENT
MARINE CHEMICALS COCHIN,IN,Company,MARINE CHEMICALS COCHIN
CINAR AMB.NAK.TURZ.INS MAK,TR,Company,CINAR AMB.NAK.TURZ.INS MAK
BLATNA A.S.,CZ,Company,TESLA BLATNA A.S.
